Title,Summary,Enrollment,Stars,Rating,Link,Category,count_students,course_length,course_rating,days_since_released
Tensorflow Deep Learning - Data Science in Python,Tensorflow Deep Learning Python : Tensorflow Neural Network Training : Tensorflow Models - Android Java : Tensorflow C#,2059,4.6,156,https://www.udemy.com/course/tensorflow-bootcamp-for-data-science-in-python/,Tech,2462.0,7.0,4.5,1040.0
Causal Data Science with Directed Acyclic Graphs,"Get to know the modern tools for causal inference from machine learning and AI, with many practical examples in R",775,4.7,155,https://www.udemy.com/course/causal-data-science/,Tech,1315.0,5.0,4.5,1620.0
Machine Learning and Statistical Modeling with R Examples,"Learn how to use machine learning algorithms and statistical modeling for clustering, decision trees, etc by using R",2206,3.9,155,https://www.udemy.com/course/machine-learning-and-statistical-modeling-with-r/,Tech,2242.0,2.0,4.2,1627.0
"The Complete Machine Learning 2020|Python, Math|Dummy To Pro","Start Machine Learning & Data Science era with Python ,Math & Libraries like: SKlearn , Pandas , NumPy, Matplotlib & Gym",1246,4.5,155,https://www.udemy.com/course/complete-machine-learning/,Tech,1334.0,25.0,4.2,746.0
Learning Path: R: Complete Machine Learning & Deep Learning,Unleash the true potential of R to unlock the hidden layers of data,1303,3.9,152,https://www.udemy.com/course/learning-path-r-complete-machine-learning-deep-learning/,Tech,1383.0,17.5,4.2,18894.0
NLTK: Build Document Classifier & Spell Checker with Python,NLP with Python - Analyzing Text with the Natural Language Toolkit (NLTK) - Natural Language Processing (NLP) Tutorial,777,4.3,152,https://www.udemy.com/course/natural-language-processing-python-nltk/,Tech,832.0,5.0,4.3,862.0
OpenCV Python For Beginners | Hands on Computer Vision,Hands on Practical Examples with OpenCV & Python,6169,4.2,152,https://www.udemy.com/course/opencv-python-for-beginners-hands-on-computer-vision/,Tech,6366.0,11.0,4.3,398.0
Machine Learning Classification Algorithms using MATLAB,Learn to Implement Classification Algorithms In One of the Most Power Tool used by Scientists and Engineer,2496,3.8,148,https://www.udemy.com/course/supervised-machine-learning-classification-using-matlab/,Tech,2496.0,,3.8,860.0
Deep Reinforcement Learning: Hands-on AI Tutorial in Python,Develop Artificial Intelligence Applications using Reinforcement Learning in Python.,16143,4.2,144,https://www.udemy.com/course/deep-reinforcement-learning-a-hands-on-tutorial-in-python/,Tech,16305.0,4.0,4.6,1433.0
Python Crash Course For Beginners,"Learn Machine Learning, Data Science And Development With Python",13665,4.2,142,https://www.udemy.com/course/python-crash-course-for-beginners-lb/,Tech,14399.0,4.0,4.6,491.0
Artificial Intelligence and the Future of Work Certification,Welcome to the new Artificial Intelligence (AI) Technology Revolution in 2020 impacting workplaces worldwide.,25482,3.4,142,https://www.udemy.com/course/the-rise-of-artificial-intelligence-at-work-in-2019-beyond/,Tech,38502.0,2.0,4.0,1415.0
Natural Language Processing (NLP) with Python and NLTK,"Practical Approach : Collecting and Preprocessing text data, Data Visualization, Model Building and NLP Apps",1078,3.5,142,https://www.udemy.com/course/natural-language-processing-with-python-and-nltk/,Tech,1166.0,7.0,4.1,793.0
Machine Learning No-Code Approach: Using Azure ML Studio,A hands-on approach to Machine Learning using the easy drag-n-drop environment of Azure Machine Learning Studio,3037,4.6,142,https://www.udemy.com/course/machine-learning-no-code-approach-using-azure-ml-studio/,Tech,4808.0,2.5,4.8,2049.0
Predict the stock market with data and model building!,"Learn hands-on Python coding, TensorFlow logistic regression, regression analysis, machine learning, and data science!",993,3.1,140,https://www.udemy.com/course/artificialintelligence/,Tech,1145.0,8.5,4.5,1316.0
Android Machine Learning with TensorFlow lite in Java/Kotlin,"Learn Machine Learning use in Android using Kotlin,Java ,Android studio and Tensorflow Lite ,Build 10+ ML Android Apps",23992,3.9,140,https://www.udemy.com/course/machine-learning-for-android-developer-using-tensorflow-lite/,Tech,24171.0,5.5,3.1,1561.0
Unleash Machine Learning: Build Artificial Neuron in Python,"A journey into Machine Learning concepts using your very own Artificial Neural Network: Load, Train, Predict, Evaluate",1947,4.6,139,https://www.udemy.com/course/unleash-machine-learning-build-artificial-neuron-in-python/,Tech,1973.0,3.0,4.4,1259.0
Machine Learning and Deep Learning using Tensor Flow & Keras,A-Z Course for Google's Deep Learning Framework - TensorFlow with Python! Learn to use functions and apply Codes.,1892,2.0,139,https://www.udemy.com/course/dlmltensorflow/,Tech,1909.0,11.0,2.4,1718.0
The Fun and Easy Guide to Machine Learning using Keras,Learn 16 Machine Learning Algorithms in a Fun and Easy along with Practical Python Labs using Keras,1809,3.9,137,https://www.udemy.com/course/machine-learning-fun-and-easy-using-python-and-keras/,Tech,1837.0,5.0,3.8,1298.0
Fundamentals of Decision Trees in Machine Learning,Learn the fundamentals of decision trees in maching learning,3632,3.5,137,https://www.udemy.com/course/fundamentals-of-machine-learning/,Tech,3635.0,2.5,3.7,1010.0
Text Mining and NLP using R and Python,Data Science Text Mining and NLP using R and Python,1556,3.4,136,https://www.udemy.com/course/text-analyticstext-mining-using-r/,Tech,1579.0,3.5,3.2,18894.0
Clustering & Classification With Machine Learning In R,Harness The Power Of Machine Learning For Unsupervised & Supervised Learning In R -- With Practical Examples,1557,4.5,135,https://www.udemy.com/course/clustering-classification-with-machine-learning-in-r/,Tech,1792.0,8.0,4.6,2116.0
Deploy Serverless Machine Learning Models to AWS Lambda,Use Serverless Framework for fast deployment of different ML models to scalable and cost-effective AWS Lambda service.,1292,4.4,132,https://www.udemy.com/course/deploy-serverless-machine-learning-models-to-aws-lambda/,Tech,2109.0,7.5,4.5,619.0
Machine Learning using Python,"This training is an introduction to the concept of machine learning, its algorithms and application using Python.",31033,4.0,132,https://www.udemy.com/course/machine-learning-using-python/,Tech,31033.0,,4.0,1189.0
Statistics with R - Advanced Level,Advanced statistical analyses using the R program,13036,4.7,132,https://www.udemy.com/course/statistics-with-r-advanced-level/,Tech,21835.0,4.5,3.8,18894.0
Image Recognition for Beginners using CNN in R Studio,Deep Learning based Convolutional Neural Networks (CNN) for Image recognition using Keras and Tensorflow in R Studio,40528,4.5,130,https://www.udemy.com/course/cnn-for-computer-vision-with-keras-and-tensorflow-in-r/,Tech,63130.0,6.5,4.7,1043.0
Python Regression Analysis: Statistics & Machine Learning,Learn Complete Hands-On Regression Analysis for Practical Statistical Modelling and Machine Learning in Python,1417,4.4,129,https://www.udemy.com/course/python-regression-analysis-statistics-machine-learning/,Tech,1683.0,6.0,4.4,1290.0
Learn Basics Of Machine Learning With R,A beginner's guide to learn and understand r programming from scratch.,16456,3.1,129,https://www.udemy.com/course/learn-basics-of-machine-learning-with-r/,Tech,16456.0,,3.1,18894.0
Master Linear Algebra for Data Science & Machine Learning,"Solve hands-on & code in python for mastering linear algebra behind data science, machine learning & Deep Learning",2166,4.7,126,https://www.udemy.com/course/linear-algebra-for-data-science-machine-learning-ai/,Tech,3271.0,13.0,4.2,1052.0
Machine Learning & Tensorflow - Google Cloud Approach,Tensors and TensorFlow,648,3.2,125,https://www.udemy.com/course/hands-on-machine-learning-google-cloud-approach/,Tech,652.0,3.0,2.7,1307.0
Master Python language - MySQL connector,"Learn Python for mastering machine learning, data science, big data, mysql connector",12644,4.4,121,https://www.udemy.com/course/master-python-language-easily-coding-with-practice-sessions/,Tech,12644.0,,4.4,1026.0
"5 Courses - Master AWS, Analytics, Machine Learning, Bigdata","Cloud Compute, Database, Security, Containers, Migration, data science, Database, Kinesis, Glue, Hadoop, Spark",13156,3.9,121,https://www.udemy.com/course/5-courses-master-aws-analytics-machine-learning-bigdata/,Tech,13246.0,12.0,3.2,1346.0
Machine Learning In The Cloud With Azure Machine Learning,Introduction to machine learning in the cloud with Azure Machine Learning.,4989,4.1,119,https://www.udemy.com/course/machine-learning-in-the-cloud-with-azure-machine-learning/,Tech,5195.0,3.0,4.3,18894.0
neural networks for sentiment and stock price prediction,How to predict stock prices with neural networks and sentiment with neural networks. Machine learning hands on data scie,617,4.3,118,https://www.udemy.com/course/neural-networks-for-stock-price-prediction-and-sentiment/,Tech,1002.0,3.0,4.6,453.0
Detect Fraud and Predict the Stock Market with TensorFlow,​Learn how to code in Python & use TensorFlow! Make a credit card fraud detection model & a stock market prediction app.,1015,3.6,117,https://www.udemy.com/course/detect-fraud-and-predict-the-stock-market-with-tensorflow/,Tech,1099.0,7.0,4.2,574.0
Learn Azure Machine Learning from scratch,This course starts from scratch with Azure Machine Learning and lands in decision trees.,6208,3.6,117,https://www.udemy.com/course/learn-azure-machine-learning-from-scratch/,Tech,6208.0,,3.6,1512.0
Fundamentals of Machine Learning with Python Implementation.,Learn Fundamentals of Machine Learning from scratch to make students well equipped with all basics and math involved,19151,4.0,117,https://www.udemy.com/course/fundamentals-of-machine-learning-with-python-implementation/,Tech,19156.0,7.0,2.7,497.0
PySpark Essentials for Data Scientists (Big Data + Python),Learn how to wrangle Big Data for Machine Learning using Python in PySpark taught by an industry expert!,614,4.7,115,https://www.udemy.com/course/pyspark-essentials-for-data-scientists-big-data-python/,Tech,3025.0,17.5,4.6,910.0
Introduction to Artificial Intelligence: AI for beginners,"Introduction to Artificial Intelligence, basics' Course for beginners & everyone. Fundmantals for AI&ml, neural networks",6286,3.8,115,https://www.udemy.com/course/introduction-to-artificial-inteligence/,Tech,6343.0,1.5,3.4,957.0
Machine Learning for Absolute Beginners - Level 2,Learn the Python Fundamentals and Pandas Library for Data Science Projects,20897,4.2,115,https://www.udemy.com/course/machine-learning-for-absolute-beginners-level-2/,Tech,21055.0,4.0,4.8,991.0
Azure Cloud Azure Databricks Apache Spark Machine learning,"Big Data, Spark SQL, Hadoop, Kafka, Data Lake, Transfer Learning, Zeppelin Notebook, Graph, Hortonworks HDP, Cloudbreak",597,3.0,114,https://www.udemy.com/course/azure-cloud-azure-databricks-apache-spark-machine-learning/,Tech,715.0,8.5,2.7,995.0
"Master Machine Learning , Deep Learning with Python","Complete course covering fundamentals of Machine learning , Deep learning with Python code",6486,3.9,113,https://www.udemy.com/course/demystifying-machine-learning/,Tech,6495.0,5.0,3.5,1054.0
Basics of Artificial Intelligence for beginners (AI),For Beginners: On AI Initiatives,6928,3.7,109,https://www.udemy.com/course/basics-of-artificial-intelligence-for-beginners/,Tech,6948.0,2.0,2.4,1405.0
Testing and Monitoring Machine Learning Model Deployments,"ML testing strategies, shadow deployments, production model monitoring and more",1654,4.6,108,https://www.udemy.com/course/testing-and-monitoring-machine-learning-model-deployments/,Tech,3273.0,8.0,4.5,1349.0
Natural Language Processing(NLP) with Deep Learning in Keras,"Word2Vec, Glove, FastText, Universal Sentence Encoder, GRU, LSTM, Conv-1D, Seq2Seq, Machine Translation and much more!",860,4.3,108,https://www.udemy.com/course/mastering-nlp-with-deep-learning-in-keras/,Tech,1055.0,8.5,4.3,2235.0
Data Wrangling in Pandas for Machine Learning Engineers,The Second Course in a Series for Mastering Python for Machine Learning Engineers,690,4.1,107,https://www.udemy.com/course/data-wrangling-in-pandas-for-machine-learning-engineers/,Tech,752.0,1.0,4.3,1785.0
Learn Computer Vision with OpenCV and Python,"Image processing basics, Object detection and tracking, Deep Learning, Facial landmarks and many special applications",699,4.3,106,https://www.udemy.com/course/learn-computer-vision-with-opencv-and-python/,Tech,833.0,8.5,4.1,552.0
Data Analysis with Python and Pandas,"data analysis with Python,Visualize datasets",2859,3.7,106,https://www.udemy.com/course/data-analysis-with-python-and-pandas/,Tech,2881.0,6.0,4.3,524.0
Mastering Tableau 10,Master the art of creating insightful visualizations from complex data with this visually appealing tutorial,783,3.8,105,https://www.udemy.com/course/mastering-tableau-10/,Tech,800.0,5.5,4.5,18894.0
Android Machine Learning with Firebase ML Kit in Java/Kotlin,"Learn Machine Learning use in Android Apps using Android studio, Build Face detector, Text Recognizer, Object detector..",29185,3.8,105,https://www.udemy.com/course/firebase-ml-kit-for-android-developers/,Tech,29258.0,4.0,3.8,1228.0
Neural Network Guide In ML For Beginners,Learn Machine Learning from scratch.Go from beginner to learning some of the most essential Machine Learning basics.,10703,3.5,103,https://www.udemy.com/course/machine-learning-bootcamp-2020/,Tech,10706.0,36.0,3.8,1279.0
