Number;Weight (N);Stature (mm);Head circumference (mm);Shoulder breadth (mm);Hand length (mm);Hand breadth (mm);Chest circumference (mm);Waist circumference (mm);Foot length (mm);Foot breadth (mm);Gender (1M, 2F);Age (months)
1600;655;1774;574;424;204;98;872;707;286;107;1;182
1601;625;1776;549;445;185;84;875;747;274;103;1;182
1602;693;1811;551;415;200;93;870;753;271;107;1;182
1603;535;1814;535;411;196;82;845;658;272;100;1;182
1604;431;1549;539;393;169;78;787;578;228;84;1;183
1605;425;1595;541;380;178;83;751;666;255;91;1;183
1606;496;1632;525;395;179;76;788;666;252;94;1;183
1607;557;1671;578;380;182;88;790;697;259;109;1;183
1608;635;1673;556;416;177;83;864;814;263;104;1;183
1609;650;1679;555;447;182;88;886;717;268;102;1;183
1610;600;1706;561;423;189;86;866;756;265;95;1;183
1611;722;1746;571;465;196;90;933;773;263;105;1;183
1612;653;1774;557;404;184;92;882;709;270;103;1;183
1613;672;1807;572;467;183;86;980;698;257;102;1;183
1614;418;1551;543;375;172;78;788;658;240;92;1;184
1615;562;1651;561;399;188;88;845;705;264;108;1;184
1616;504;1688;519;407;177;83;839;686;256;95;1;184
1617;679;1699;557;427;190;89;864;804;266;110;1;184
1618;573;1724;547;408;187;88;848;692;254;106;1;184
1619;634;1743;566;409;198;96;880;748;261;114;1;184
1620;776;1800;594;438;195;91;932;828;278;114;1;184
1621;478;1493;551;392;176;83;832;664;237;97;1;185
1622;585;1502;530;411;166;79;909;801;223;88;1;185
1623;532;1603;533;427;181;86;852;683;249;91;1;185
1624;658;1625;562;438;175;84;944;808;256;102;1;185
1625;567;1707;540;404;176;85;814;684;252;103;1;185
1626;631;1738;556;451;196;91;910;711;270;102;1;185
1627;623;1741;548;411;195;87;863;745;260;99;1;185
1628;1050;1754;581;465;183;96;1076;1094;271;116;1;185
1629;767;1759;548;473;192;89;964;818;277;105;1;185
1630;714;1836;572;446;188;85;879;748;281;105;1;185
1631;478;1695;534;392;179;85;842;679;247;96;1;186
1632;624;1705;558;396;179;81;862;682;262;98;1;186
1633;631;1733;571;405;193;89;878;704;252;100;1;186
1634;330;1473;538;355;151;70;692;569;237;86;1;187
1635;568;1654;561;394;178;84;837;667;254;104;1;187
1636;561;1715;565;414;179;81;829;711;265;101;1;187
1637;679;1728;560;446;205;92;905;788;286;106;1;187
1638;710;1774;580;443;192;87;965;807;274;105;1;187
1639;741;1786;552;446;196;89;926;780;277;101;1;187
1640;747;1810;555;466;196;90;955;772;275;102;1;187
1641;544;1621;579;395;174;86;818;715;249;93;1;188
1642;537;1655;543;393;191;89;823;709;271;101;1;188
1643;601;1702;555;393;182;85;787;756;267;100;1;188
1644;567;1764;568;402;197;83;828;731;268;100;1;188
1645;790;1782;585;450;203;93;913;865;278;110;1;188
1646;810;1795;584;474;185;92;930;911;271;110;1;188
1647;801;1830;570;426;200;94;951;773;276;111;1;188
1648;791;1838;572;453;198;95;969;792;264;107;1;188
1649;565;1687;553;405;192;90;834;689;276;99;1;189
1650;592;1701;573;440;183;86;921;691;263;92;1;189
1651;628;1727;570;415;173;80;868;732;246;95;1;189
1652;616;1770;554;441;191;87;915;674;246;95;1;189
1653;655;1774;567;431;201;89;883;685;276;103;1;189
1654;698;1806;566;431;189;94;939;752;269;118;1;189
1655;819;1820;593;456;193;87;965;832;282;104;1;189
1656;767;1854;568;428;191;93;906;757;275;115;1;189
1657;714;1856;559;438;196;91;886;718;275;103;1;189
1658;555;1726;573;427;182;85;843;673;253;101;1;190
1659;601;1760;541;434;177;88;868;668;259;110;1;190
1660;624;1798;518;459;186;85;852;693;267;110;1;190
1661;696;1807;574;458;190;92;941;753;258;99;1;190
1662;642;1852;577;428;216;89;838;718;291;108;1;190
1663;721;1866;571;441;198;91;974;756;273;104;1;190
1664;462;1517;515;390;172;77;794;640;255;97;1;191
1665;399;1534;526;371;173;77;743;643;244;89;1;191
1666;743;1695;565;449;199;85;921;832;274;108;1;191
1667;562;1721;571;443;184;84;843;706;253;97;1;191
1668;720;1747;566;449;189;87;911;827;279;109;1;191
1669;662;1776;563;450;205;90;881;737;272;104;1;191
1670;682;1792;590;429;191;85;906;734;258;103;1;191
1671;749;1800;560;453;192;93;933;755;270;111;1;191
1672;948;1883;583;467;193;88;1079;965;272;101;1;191
1673;570;1700;525;392;195;95;826;705;258;110;1;192
1674;621;1718;544;440;182;88;928;747;263;105;1;192
1675;584;1746;566;396;190;88;833;702;278;108;1;192
1676;678;1754;561;413;192;91;863;826;277;102;1;192
1677;608;1788;582;404;195;88;839;688;281;104;1;192
1678;850;1808;590;483;197;91;1060;854;269;97;1;192
1679;712;1820;559;435;179;88;915;728;266;100;1;192
1680;596;1632;557;414;178;83;865;780;250;105;1;193
1681;518;1646;535;387;163;84;809;659;236;91;1;193
1682;581;1674;558;382;187;87;873;668;249;103;1;193
1683;614;1724;566;431;191;90;924;713;262;109;1;193
1684;644;1728;566;402;201;85;878;706;266;105;1;193
1685;530;1736;538;394;183;79;815;663;259;88;1;193
1686;722;1771;559;466;194;96;1018;765;259;113;1;193
1687;768;1791;564;483;184;85;971;759;260;99;1;193
1688;661;1801;570;438;193;86;910;733;277;110;1;193
1689;757;1818;585;456;197;93;902;774;277;104;1;193
1690;797;1829;591;449;198;95;910;774;276;111;1;193
1691;697;1834;575;450;193;87;997;742;268;103;1;193
1692;631;1653;546;447;181;91;924;812;248;106;1;194
1693;468;1668;543;392;177;77;784;653;243;89;1;194
1694;686;1695;553;424;185;91;874;773;262;106;1;194
1695;597;1695;542;389;184;86;823;710;255;105;1;194
1696;556;1695;569;418;184;86;834;701;258;103;1;194
1697;581;1723;576;416;187;87;843;677;260;99;1;194
1698;861;1728;598;480;187;99;1037;895;249;104;1;194
1699;676;1738;566;470;192;90;928;743;275;109;1;194
1700;666;1740;582;434;183;90;906;728;265;104;1;194
1701;690;1750;566;429;186;91;886;766;277;101;1;194
1702;678;1763;587;447;194;85;909;770;272;103;1;194
1703;652;1802;552;438;193;88;894;728;277;106;1;194
1704;1066;1850;605;518;188;93;1123;1085;265;112;1;194
1705;395;1500;524;367;179;79;751;650;267;97;1;195
1706;468;1675;537;416;174;77;820;644;242;91;1;195
1707;638;1784;576;432;185;89;860;685;263;101;1;195
1708;702;1825;599;437;208;92;918;709;293;108;1;195
1709;708;1831;564;449;197;94;938;729;277;108;1;195
1710;712;1844;596;446;207;92;939;726;284;105;1;195
1711;853;1855;573;472;204;96;1004;823;286;105;1;195
1712;713;1734;569;475;189;87;958;796;257;109;1;196
1713;699;1759;567;443;200;91;903;731;268;103;1;196
1714;600;1784;537;400;189;87;822;702;249;96;1;196
1715;552;1611;535;411;188;86;821;706;254;103;1;197
1716;598;1644;563;415;180;92;859;687;248;101;1;197
1717;448;1655;542;380;174;80;772;615;235;93;1;197
1718;648;1684;552;456;177;83;911;766;260;100;1;197
1719;641;1731;576;419;184;84;881;716;254;102;1;197
1720;929;1732;597;490;195;100;1039;942;260;113;1;197
1721;566;1736;551;418;183;82;812;675;276;97;1;197
1722;676;1738;558;454;194;90;922;685;274;104;1;197
1723;609;1743;572;436;186;88;930;779;266;110;1;197
1724;786;1746;573;462;192;95;922;818;271;111;1;197
1725;795;1755;609;506;182;93;957;750;279;108;1;197
1726;666;1771;567;433;186;91;921;724;269;109;1;197
1727;674;1801;580;438;189;85;945;783;264;98;1;197
1728;810;1820;585;477;186;93;1006;814;270;109;1;197
1729;739;1848;579;441;194;95;931;763;280;110;1;197
1730;751;1650;565;475;165;83;955;830;237;100;1;198
1731;667;1704;575;428;190;89;928;718;268;111;1;198
1732;738;1730;585;465;187;92;949;808;260;109;1;198
1733;646;1831;559;445;192;87;910;677;283;110;1;198
1734;588;1637;580;415;171;91;893;689;234;93;1;199
1735;662;1650;581;445;183;89;971;749;246;99;1;199
1736;710;1734;582;426;170;84;872;802;263;101;1;199
1737;674;1744;553;436;187;89;921;752;267;105;1;199
1738;681;1750;568;418;184;89;964;741;274;104;1;199
1739;551;1765;531;387;194;85;823;715;259;101;1;199
1740;652;1790;560;442;185;88;924;705;269;105;1;199
1741;756;1829;599;456;196;91;971;764;284;109;1;199
1742;801;1868;536;475;196;88;922;755;277;106;1;199
1743;635;1697;543;405;187;88;875;772;265;107;1;200
1744;707;1753;576;451;190;90;946;790;282;106;1;200
1745;659;1761;564;428;202;92;935;759;262;108;1;200
1746;640;1768;560;449;196;84;865;890;258;94;1;200
1747;719;1820;567;461;191;89;976;797;268;99;1;200
1748;643;1826;561;424;194;89;853;692;281;103;1;200
1749;662;1832;580;438;201;99;884;717;281;95;1;200
1750;557;1705;564;403;181;81;834;676;257;101;1;201
1751;613;1712;557;403;172;88;868;702;258;101;1;201
1752;532;1716;541;417;165;84;818;660;245;91;1;201
1753;811;1727;567;481;196;95;957;913;276;107;1;201
1754;622;1744;553;437;184;90;896;722;253;104;1;201
1755;648;1744;563;422;184;89;876;725;260;107;1;201
