Number;Weight (N);Stature (mm);Head circumference (mm);Shoulder breadth (mm);Hand length (mm);Hand breadth (mm);Chest circumference (mm);Waist circumference (mm);Foot length (mm);Foot breadth (mm);Gender (1M, 2F);Age (months)
2812;334;1379;546;340;146;64;703;665;209;86;2;126
2813;334;1403;519;330;156;75;705;605;224;87;2;126
2814;354;1412;530;332;153;69;696;651;215;82;2;126
2815;382;1445;522;343;156;73;716;663;224;90;2;126
2816;390;1453;557;336;161;69;676;667;221;91;2;126
2817;608;1566;530;429;174;76;881;832;241;98;2;126
2818;320;1365;512;334;139;63;664;599;200;79;2;127
2819;311;1379;503;323;148;67;704;605;226;83;2;127
2820;340;1409;523;326;152;61;647;596;213;84;2;127
2821;365;1411;530;340;156;70;724;620;223;87;2;127
2822;383;1459;539;348;162;77;736;667;235;84;2;127
2823;334;1485;541;327;152;71;664;571;225;89;2;127
2824;407;1488;547;350;168;75;722;575;232;90;2;127
2825;342;1491;518;337;158;70;690;574;231;87;2;127
2826;408;1524;545;349;165;76;721;623;235;87;2;127
2827;443;1550;540;379;175;71;733;653;247;88;2;127
2828;460;1567;573;380;142;86;755;681;248;94;2;127
2829;207;1220;490;274;133;59;540;487;182;68;2;128
2830;276;1292;522;306;135;60;666;628;204;74;2;128
2831;309;1331;500;309;145;63;631;619;202;83;2;128
2832;267;1331;507;297;143;65;597;529;192;74;2;128
2833;285;1333;511;308;151;60;613;602;204;85;2;128
2834;305;1351;496;321;147;67;663;618;214;86;2;128
2835;298;1359;521;299;159;62;657;560;216;79;2;128
2836;341;1360;529;352;150;67;650;589;214;81;2;128
2837;334;1369;530;348;153;70;728;620;218;89;2;128
2838;288;1407;497;322;152;67;659;578;224;78;2;128
2839;289;1408;522;314;145;69;627;516;210;73;2;128
2840;331;1440;519;337;159;68;677;590;220;82;2;128
2841;493;1482;518;395;175;74;821;796;240;87;2;128
2842;364;1485;513;340;166;73;704;605;233;88;2;128
2843;417;1533;538;368;161;70;748;690;226;83;2;128
2844;230;1335;486;292;142;63;570;513;198;77;2;129
2845;302;1411;520;322;156;68;663;542;217;83;2;129
2846;445;1433;534;363;155;71;780;735;232;82;2;129
2847;409;1453;537;338;146;78;706;690;221;84;2;129
2848;392;1462;510;349;158;74;724;662;221;82;2;129
2849;345;1469;531;324;168;74;675;568;234;86;2;129
2850;402;1490;540;353;152;74;749;646;230;91;2;129
2851;396;1508;521;346;177;78;715;631;253;97;2;129
2852;483;1516;542;373;172;78;768;712;237;92;2;129
2853;568;1528;544;417;178;81;890;861;235;88;2;129
2854;382;1606;540;327;175;73;723;609;236;84;2;129
2855;288;1324;558;313;141;64;653;571;208;79;2;130
2856;315;1330;529;353;152;67;692;601;212;77;2;130
2857;250;1347;494;301;132;64;620;528;194;73;2;130
2858;250;1364;504;304;145;64;618;543;217;80;2;130
2859;324;1366;502;325;143;65;652;599;212;77;2;130
2860;328;1385;539;320;154;68;671;602;225;85;2;130
2861;314;1415;506;342;157;67;675;603;231;82;2;130
2862;353;1421;562;333;151;63;698;595;218;85;2;130
2863;345;1506;536;337;163;68;655;600;235;78;2;130
2864;533;1520;537;389;188;84;809;682;243;108;2;130
2865;432;1524;545;348;166;73;725;673;235;91;2;130
2866;548;1563;568;418;174;79;821;702;256;100;2;130
2867;603;1563;559;416;165;74;914;864;222;94;2;130
2868;238;1263;489;309;140;61;622;564;192;72;2;131
2869;315;1346;521;340;153;65;700;597;216;84;2;131
2870;417;1377;541;383;148;67;715;700;215;82;2;131
2871;381;1405;516;328;158;71;680;582;222;85;2;131
2872;324;1422;503;328;153;71;658;591;222;91;2;131
2873;403;1422;505;358;153;65;733;697;215;83;2;131
2874;368;1425;516;349;157;73;713;645;219;85;2;131
2875;310;1426;526;324;150;68;646;558;221;87;2;131
2876;400;1455;548;350;152;69;770;679;214;81;2;131
2877;288;1464;499;305;147;66;615;544;215;82;2;131
2878;359;1540;525;355;163;74;713;663;221;88;2;131
2879;332;1380;499;340;155;60;719;638;219;82;2;132
2880;309;1410;536;317;149;62;690;593;216;81;2;132
2881;351;1437;555;346;162;70;705;621;221;84;2;132
2882;355;1441;519;342;165;75;689;587;245;89;2;132
2883;320;1444;510;339;151;66;678;582;221;75;2;132
2884;393;1469;537;361;162;74;732;674;234;87;2;132
2885;414;1499;582;350;169;72;732;633;232;77;2;132
2886;478;1520;524;367;170;72;788;710;244;92;2;132
2887;302;1336;518;309;151;72;642;577;214;81;2;133
2888;375;1383;528;329;148;64;724;707;215;82;2;133
2889;375;1401;532;344;163;72;737;661;215;84;2;133
2890;289;1411;521;334;147;65;688;575;209;77;2;133
2891;391;1415;521;344;153;68;727;682;235;86;2;133
2892;602;1417;545;419;159;70;872;923;222;86;2;133
2893;413;1448;552;345;157;77;735;644;228;90;2;133
2894;321;1475;517;324;157;70;681;629;226;76;2;133
2895;558;1527;521;385;169;75;827;792;251;96;2;133
2896;455;1530;528;375;161;74;781;708;225;96;2;133
2897;327;1343;533;334;157;65;686;632;215;85;2;134
2898;336;1350;551;328;146;68;694;591;200;90;2;134
2899;353;1378;526;341;157;70;688;595;222;88;2;134
2900;309;1383;522;315;143;62;665;593;205;78;2;134
2901;344;1413;535;340;142;66;685;591;211;77;2;134
2902;324;1435;506;317;157;72;666;559;224;87;2;134
2903;318;1435;519;324;147;65;658;599;229;75;2;134
2904;393;1445;531;362;160;70;722;639;225;78;2;134
2905;390;1473;529;348;157;67;686;698;223;80;2;134
2906;549;1484;573;407;167;74;868;878;229;92;2;134
2907;369;1489;535;337;160;70;685;646;225;90;2;134
2908;389;1515;536;344;167;72;726;660;231;89;2;134
2909;295;1373;512;322;147;62;615;596;220;76;2;135
2910;360;1405;533;362;146;67;713;681;226;84;2;135
2911;363;1426;530;332;151;68;706;581;205;83;2;135
2912;273;1442;516;307;162;73;616;530;223;74;2;135
2913;317;1448;504;327;149;66;666;575;207;76;2;135
2914;415;1454;531;347;154;67;707;709;212;98;2;135
2915;373;1458;524;349;162;66;700;612;223;77;2;135
2916;393;1470;528;349;154;70;721;657;217;88;2;135
2917;424;1473;511;354;153;83;736;698;223;102;2;135
2918;449;1497;547;365;163;73;779;640;218;87;2;135
2919;453;1497;563;374;167;77;767;710;243;93;2;135
2920;659;1509;563;460;164;75;961;899;252;96;2;135
2921;251;1321;504;294;146;69;632;541;208;84;2;136
2922;294;1334;518;319;150;59;618;609;208;78;2;136
2923;305;1335;521;317;149;65;647;576;216;84;2;136
2924;332;1361;543;317;140;66;715;580;210;86;2;136
2925;343;1397;522;327;139;64;705;638;204;77;2;136
2926;339;1403;531;323;160;72;687;576;213;82;2;136
2927;265;1426;513;314;148;67;656;577;223;82;2;136
2928;306;1438;520;311;145;63;642;568;216;73;2;136
2929;323;1459;510;334;162;74;681;568;211;91;2;136
2930;364;1494;531;328;167;70;727;605;232;87;2;136
2931;352;1498;538;326;154;73;691;577;230;95;2;136
2932;352;1548;509;326;163;72;689;596;246;89;2;136
2933;505;1581;529;392;168;74;808;786;238;94;2;136
2934;800;1602;550;472;175;77;1025;951;227;98;2;136
2935;368;1480;529;345;164;74;683;606;245;92;2;137
2936;339;1486;531;362;158;68;692;615;217;82;2;137
2937;466;1489;559;380;164;79;771;662;245;92;2;137
2938;526;1508;552;420;165;71;818;760;241;90;2;137
2939;392;1528;535;366;164;71;734;644;226;82;2;137
2940;381;1544;530;337;155;78;684;587;240;89;2;137
2941;420;1544;551;370;171;75;699;640;232;88;2;137
2942;448;1550;542;388;175;77;749;699;256;101;2;137
2943;508;1611;580;390;185;77;835;686;250;93;2;137
2944;278;1372;532;321;153;69;655;547;212;79;2;138
2945;312;1380;538;324;144;71;710;615;218;83;2;138
2946;312;1381;531;316;145;64;662;588;210;81;2;138
2947;336;1382;520;335;152;71;674;610;223;88;2;138
2948;333;1398;511;343;152;69;733;608;212;78;2;138
2949;281;1410;525;316;141;66;688;572;208;76;2;138
2950;338;1415;540;317;147;67;662;567;220;81;2;138
2951;483;1451;521;386;168;70;830;744;228;91;2;138
2952;364;1484;534;342;160;74;713;619;225;86;2;138
2953;405;1490;530;367;170;74;746;654;226;83;2;138
2954;500;1503;524;388;150;76;842;773;235;95;2;138
2955;425;1554;547;374;163;76;743;647;233;97;2;138
2956;284;1368;512;333;144;63;652;566;218;77;2;139
2957;332;1418;485;303;157;67;634;610;228;88;2;139
2958;334;1421;505;310;155;68;639;555;225;83;2;139
2959;369;1466;542;343;158;74;696;588;228;80;2;139
2960;391;1476;525;359;182;73;723;646;240;84;2;139
2961;366;1491;554;325;160;75;673;609;238;88;2;139
2962;354;1513;528;325;173;75;694;612;235;93;2;139
2963;472;1538;518;371;168;78;777;682;233;93;2;139
2964;470;1561;529;389;172;78;750;668;245;89;2;139
2965;446;1580;555;366;180;77;778;718;233;90;2;139
2966;515;1590;562;392;169;73;819;738;236;84;2;139
2967;324;1363;524;324;147;64;635;555;211;70;2;140
2968;294;1372;533;322;149;64;673;558;212;72;2;140
2969;355;1409;527;337;146;66;681;662;217;73;2;140
2970;350;1417;516;343;152;60;707;611;214;79;2;140
2971;492;1421;544;384;158;67;822;783;227;81;2;140
2972;512;1439;522;399;156;68;878;852;215;87;2;140
2973;400;1505;535;345;164;75;713;589;225;88;2;140
2974;436;1508;518;349;160;67;769;728;219;81;2;140
2975;431;1513;512;353;158;75;740;649;233;91;2;140
2976;526;1669;545;360;175;75;784;630;242;96;2;140
2977;303;1395;504;320;147;65;644;585;217;82;2;141
2978;329;1442;529;333;154;65;684;578;214;78;2;141
2979;376;1483;525;352;163;76;732;642;225;87;2;141
2980;595;1508;537;394;158;79;845;843;230;94;2;141
2981;408;1547;538;360;168;73;758;612;244;92;2;141
2982;312;1376;532;332;151;65;672;585;210;83;2;142
2983;293;1417;510;317;155;68;666;570;223;80;2;142
2984;353;1420;526;363;155;69;729;625;222;86;2;142
2985;333;1462;519;328;161;77;648;585;227;80;2;142
2986;393;1472;528;351;163;73;726;629;230;95;2;142
2987;433;1490;526;374;165;71;750;681;249;89;2;142
2988;450;1504;537;365;163;67;780;767;230;91;2;142
2989;407;1533;532;354;169;71;806;712;247;91;2;142
2990;428;1546;532;349;170;74;751;653;240;94;2;142
2991;470;1551;555;385;174;78;784;644;235;96;2;142
2992;649;1567;553;416;174;79;861;843;248;97;2;142
2993;395;1570;515;338;174;73;737;614;234;93;2;142
2994;514;1690;564;381;175;79;823;664;249;95;2;142
2995;322;1374;505;330;150;65;678;644;218;81;2;143
2996;433;1451;529;358;141;70;725;649;225;92;2;143
2997;355;1456;532;327;159;72;679;594;219;86;2;143
2998;326;1456;528;314;162;65;641;562;227;80;2;143
2999;352;1459;543;332;160;69;680;594;233;86;2;143
3000;355;1480;516;345;151;72;713;647;228;84;2;143
3001;386;1493;551;340;164;75;715;638;226;94;2;143
3002;425;1494;533;386;156;79;786;696;232;94;2;143
3003;399;1516;528;362;161;75;725;625;240;86;2;143
3004;373;1519;507;340;158;70;691;662;227;89;2;143
3005;401;1521;538;343;171;70;705;676;244;83;2;143
3006;458;1547;547;373;175;78;734;730;245;98;2;143
3007;475;1552;520;402;175;81;792;784;246;96;2;143
3008;385;1560;515;351;166;71;742;640;237;91;2;143
3009;317;1469;528;322;157;69;693;581;228;85;2;144
3010;348;1489;500;313;161;70;647;581;209;86;2;144
3011;474;1492;522;387;161;75;810;763;245;95;2;144
3012;525;1529;551;388;164;75;787;681;225;91;2;144
3013;430;1544;555;366;153;67;746;605;222;87;2;144
3014;459;1553;545;374;176;74;757;658;244;97;2;144
3015;576;1554;524;403;161;67;849;799;245;91;2;144
3016;424;1599;539;338;181;73;744;665;250;88;2;144
3017;261;1375;496;296;155;70;625;534;221;79;2;145
3018;280;1385;523;306;148;73;618;511;213;89;2;145
3019;295;1397;531;298;152;65;658;593;209;79;2;145
3020;371;1422;536;354;160;69;692;641;225;90;2;145
3021;298;1425;519;320;154;67;675;604;214;81;2;145
3022;400;1505;555;353;175;75;725;662;235;84;2;145
3023;496;1520;566;425;171;77;869;783;260;91;2;145
3024;422;1522;521;377;160;73;771;678;232;88;2;145
3025;365;1533;530;341;166;73;681;592;243;90;2;145
3026;459;1537;539;348;168;74;726;611;234;85;2;145
3027;494;1558;550;378;170;74;763;721;229;88;2;145
3028;549;1595;530;408;169;72;847;702;237;87;2;145
3029;485;1599;534;381;185;79;766;701;249;92;2;145
3030;367;1478;514;331;161;71;670;613;230;88;2;146
3031;357;1488;522;335;167;73;698;603;228;89;2;146
3032;341;1493;550;329;157;68;697;587;223;87;2;146
3033;545;1506;542;393;162;67;898;903;245;90;2;146
3034;433;1507;551;368;167;70;775;689;224;83;2;146
3035;396;1512;515;353;167;75;739;638;235;93;2;146
3036;623;1517;547;400;161;76;868;891;239;97;2;146
3037;527;1540;542;359;164;69;829;731;229;94;2;146
3038;584;1542;561;450;170;75;846;842;250;95;2;146
3039;440;1552;558;362;177;79;731;677;239;85;2;146
3040;323;1437;522;323;154;65;667;606;217;80;2;147
3041;447;1469;541;390;163;77;784;703;234;91;2;147
3042;327;1490;510;317;158;71;671;554;231;87;2;147
3043;366;1492;518;340;173;72;714;597;232;85;2;147
3044;427;1494;570;379;167;73;775;673;232;89;2;147
3045;408;1511;559;367;163;73;742;624;235;87;2;147
3046;508;1522;554;377;177;75;795;732;235;88;2;147
3047;441;1552;549;357;164;73;745;639;229;92;2;147
3048;384;1572;555;344;174;72;681;618;245;85;2;147
3049;267;1354;497;307;152;65;650;572;213;82;2;148
3050;327;1415;525;318;161;70;648;576;217;88;2;148
3051;396;1437;515;349;163;72;731;660;231;85;2;148
3052;441;1438;536;365;156;73;767;700;225;88;2;148
3053;378;1458;536;345;152;67;717;603;214;81;2;148
3054;420;1482;537;359;164;73;740;703;225;85;2;148
3055;392;1483;545;347;177;71;716;609;239;87;2;148
3056;388;1501;538;361;169;74;739;605;238;82;2;148
3057;359;1528;547;355;160;73;712;612;234;82;2;148
3058;410;1556;530;382;172;77;767;611;233;94;2;148
3059;493;1601;533;385;165;74;812;679;231;88;2;148
3060;273;1333;511;304;150;65;631;524;198;75;2;149
3061;320;1449;521;336;166;66;649;578;231;84;2;149
3062;357;1467;532;334;151;73;693;586;214;78;2;149
3063;424;1476;531;370;161;68;751;629;225;89;2;149
3064;480;1506;547;361;169;80;779;692;236;95;2;149
3065;329;1526;495;332;157;70;650;547;218;87;2;149
3066;420;1572;536;349;168;76;711;632;236;87;2;149
3067;525;1574;515;374;164;74;828;725;251;90;2;149
3068;410;1589;523;355;171;74;731;615;234;79;2;149
3069;452;1600;536;346;177;73;722;653;232;90;2;149
3070;517;1643;530;366;168;79;760;664;235;91;2;149
3071;533;1666;522;380;197;78;805;692;272;96;2;149
3072;308;1404;497;331;157;73;676;622;207;75;2;150
3073;374;1469;524;340;163;69;694;662;230;81;2;150
3074;542;1494;515;398;155;73;839;761;215;89;2;150
3075;447;1532;550;367;170;74;800;666;246;88;2;150
3076;469;1539;537;370;174;76;760;664;242;85;2;150
3077;462;1543;535;382;173;82;780;758;251;100;2;150
3078;484;1563;600;395;176;77;799;695;241;94;2;150
3079;478;1565;534;364;174;82;745;677;224;94;2;150
3080;416;1574;551;341;176;77;730;675;245;93;2;150
3081;535;1598;548;379;169;79;779;626;223;98;2;150
3082;553;1608;552;401;177;78;809;742;245;90;2;150
3083;466;1608;549;387;165;67;795;662;242;88;2;150
3084;304;1361;511;323;150;64;662;602;212;80;2;151
3085;368;1446;509;344;154;69;710;649;214;85;2;151
3086;374;1456;525;349;168;65;710;576;235;79;2;151
3087;361;1456;513;323;164;72;684;609;225;84;2;151
3088;392;1476;534;360;167;75;752;665;233;86;2;151
3089;441;1500;526;355;162;73;729;687;237;96;2;151
3090;374;1514;559;331;171;71;703;610;233;98;2;151
3091;358;1526;538;373;159;77;715;641;236;90;2;151
3092;433;1535;526;365;170;72;765;641;234;89;2;151
3093;501;1554;575;377;174;80;819;709;237;92;2;151
3094;446;1556;538;361;168;70;748;727;235;89;2;151
3095;433;1569;542;361;162;70;748;656;226;92;2;151
3096;410;1572;529;347;173;76;708;642;240;90;2;151
3097;477;1597;572;339;169;77;762;634;242;90;2;151
3098;437;1622;545;352;176;73;738;665;244;93;2;151
3099;554;1658;547;371;179;77;797;671;255;95;2;151
3100;341;1399;508;356;157;70;713;646;216;90;2;152
3101;371;1447;506;369;147;73;727;626;213;88;2;152
3102;392;1466;531;350;158;76;702;634;224;87;2;152
3103;483;1468;528;359;156;70;778;732;232;93;2;152
3104;432;1515;514;363;171;80;724;612;238;92;2;152
3105;508;1561;565;395;175;74;814;699;234;89;2;152
3106;400;1563;522;347;154;80;700;570;225;89;2;152
3107;438;1576;525;373;179;82;747;632;237;93;2;152
3108;414;1578;547;358;163;68;722;617;224;86;2;152
3109;546;1584;546;397;168;75;821;771;228;87;2;152
3110;541;1591;530;403;169;76;804;760;242;90;2;152
3111;530;1616;543;378;183;77;790;691;259;99;2;152
3112;561;1634;555;385;169;77;814;711;239;87;2;152
3113;540;1656;516;391;176;76;804;682;241;97;2;152
3114;416;1439;529;384;162;72;738;761;233;93;2;153
3115;523;1502;536;384;155;80;800;755;221;95;2;153
3116;406;1506;528;361;172;71;749;641;245;81;2;153
3117;371;1512;536;338;185;79;688;622;261;86;2;153
3118;483;1539;545;349;155;65;732;649;230;84;2;153
3119;414;1546;536;367;172;77;765;641;232;84;2;153
3120;564;1560;545;423;167;68;874;767;232;89;2;153
3121;432;1576;547;391;169;82;746;644;235;92;2;153
3122;522;1583;557;377;171;80;800;670;246;97;2;153
3123;508;1599;521;378;168;76;761;714;223;96;2;153
3124;462;1620;550;387;184;79;765;678;251;100;2;153
3125;324;1407;504;329;161;70;685;617;216;84;2;154
3126;350;1451;510;338;161;79;702;603;219;87;2;154
3127;349;1455;524;355;161;72;710;633;215;83;2;154
3128;415;1480;543;366;174;77;746;659;226;86;2;154
3129;554;1495;542;393;168;74;859;799;231;94;2;154
3130;345;1500;522;331;159;72;680;648;224;74;2;154
3131;409;1505;539;351;169;75;714;633;234;85;2;154
3132;449;1538;520;377;174;70;788;670;235;86;2;154
3133;535;1556;534;399;169;77;781;659;246;95;2;154
3134;453;1572;532;385;174;75;802;648;235;92;2;154
3135;429;1586;528;363;178;77;743;669;243;91;2;154
3136;520;1590;512;390;158;67;803;692;235;90;2;154
3137;500;1602;533;391;174;78;804;658;241;87;2;154
3138;472;1617;540;380;172;75;771;662;238;91;2;154
3139;498;1625;556;356;176;77;743;693;243;92;2;154
3140;616;1636;555;410;183;77;846;756;265;94;2;154
3141;462;1645;535;380;177;81;788;677;239;99;2;154
3142;598;1646;552;398;184;76;854;762;250;95;2;154
3143;382;1406;518;349;151;66;720;648;216;84;2;155
3144;370;1493;504;341;157;71;689;569;239;86;2;155
3145;340;1498;531;344;155;66;662;616;222;83;2;155
3146;403;1551;511;362;169;75;733;629;248;85;2;155
3147;421;1559;530;340;163;70;699;612;229;87;2;155
3148;432;1575;535;366;172;79;740;633;238;92;2;155
3149;453;1578;529;373;173;79;769;643;231;89;2;155
3150;431;1583;552;370;168;72;771;664;239;92;2;155
3151;697;1595;536;414;164;77;878;868;224;85;2;155
3152;575;1624;545;392;173;73;858;692;223;91;2;155
3153;473;1636;549;368;183;78;767;667;251;95;2;155
3154;524;1667;563;387;192;78;776;643;265;88;2;155
3155;669;1696;543;413;179;78;861;802;250;95;2;155
3156;327;1401;526;338;154;74;704;564;218;83;2;156
3157;406;1450;537;372;159;73;804;628;229;89;2;156
3158;446;1500;551;383;156;77;772;660;229;89;2;156
3159;406;1515;532;345;172;73;738;619;211;92;2;156
3160;378;1530;521;373;164;72;722;632;226;85;2;156
3161;472;1540;549;368;160;74;739;718;219;85;2;156
3162;389;1543;528;371;179;74;730;619;246;92;2;156
3163;540;1556;538;403;175;80;815;705;245;99;2;156
3164;466;1568;549;367;168;75;742;706;228;87;2;156
3165;567;1591;559;366;173;72;789;725;239;90;2;156
3166;483;1622;538;389;177;79;763;652;245;104;2;156
3167;469;1634;552;367;177;81;781;689;237;94;2;156
3168;265;1341;481;305;148;72;606;530;211;85;2;157
3169;389;1473;519;342;162;67;757;617;218;86;2;157
3170;393;1508;555;358;152;68;735;649;222;79;2;157
3171;396;1510;522;336;159;75;723;657;226;96;2;157
3172;423;1526;541;380;158;76;765;628;234;89;2;157
3173;473;1535;536;378;158;66;801;650;222;88;2;157
3174;403;1536;512;339;164;70;742;636;232;83;2;157
3175;430;1546;533;377;173;75;758;674;248;92;2;157
3176;429;1564;524;365;180;82;748;660;236;91;2;157
3177;503;1576;531;379;173;77;785;680;241;97;2;157
3178;670;1602;577;417;169;82;891;784;248;101;2;157
3179;527;1651;543;397;183;79;808;710;248;92;2;157
3180;428;1689;532;353;201;77;745;575;256;93;2;157
3181;374;1474;516;335;159;71;712;644;215;89;2;158
3182;411;1479;526;373;170;73;777;673;224;87;2;158
3183;385;1510;508;377;157;67;735;632;216;81;2;158
3184;418;1545;551;349;166;69;708;710;233;88;2;158
3185;532;1577;563;381;176;74;801;716;252;96;2;158
3186;433;1602;539;366;168;78;753;585;231;88;2;158
3187;530;1604;533;404;176;76;800;733;236;82;2;158
3188;540;1659;559;402;189;82;798;695;257;103;2;158
3189;317;1422;508;325;151;70;679;578;212;82;2;159
3190;494;1483;515;388;163;74;804;721;215;86;2;159
3191;449;1501;539;374;151;68;759;623;215;82;2;159
3192;718;1531;575;400;187;84;888;831;259;104;2;159
3193;445;1545;535;371;162;63;743;680;219;79;2;159
3194;514;1550;556;377;170;78;812;708;227;89;2;159
3195;491;1558;531;389;158;73;777;711;220;93;2;159
3196;558;1568;552;402;163;78;821;725;228;102;2;159
3197;500;1585;533;365;169;74;777;637;232;96;2;159
3198;432;1601;540;367;171;76;763;605;240;89;2;159
3199;557;1603;540;391;182;78;816;720;232;87;2;159
3200;569;1607;569;392;172;76;838;760;237;89;2;159
3201;439;1610;533;361;171;73;732;615;238;89;2;159
3202;512;1660;546;373;178;80;754;645;241;94;2;159
3203;560;1667;534;387;185;78;802;706;253;96;2;159
3204;371;1461;542;340;161;73;720;610;243;90;2;160
3205;400;1468;512;353;159;75;711;652;232;96;2;160
3206;402;1497;548;335;168;79;688;608;234;86;2;160
3207;491;1533;539;391;178;82;809;695;233;87;2;160
3208;408;1538;561;346;170;76;737;614;244;90;2;160
3209;385;1547;525;342;167;70;696;648;223;88;2;160
3210;400;1547;559;342;170;73;702;619;234;95;2;160
3211;493;1551;546;393;165;72;819;729;227;88;2;160
3212;461;1584;539;359;166;74;759;657;228;90;2;160
3213;448;1602;530;377;167;76;777;670;238;92;2;160
3214;449;1608;538;358;170;70;741;656;234;88;2;160
3215;405;1635;556;351;170;75;669;611;238;92;2;160
3216;571;1657;558;392;177;77;829;661;251;97;2;160
3217;434;1473;546;359;150;71;755;700;223;94;2;161
3218;455;1533;521;343;168;79;747;627;237;90;2;161
3219;452;1581;543;367;169;77;764;648;241;97;2;161
3220;661;1611;562;407;172;75;848;829;233;92;2;161
3221;434;1630;536;356;170;70;738;633;229;92;2;161
3222;547;1651;558;403;185;77;826;756;254;94;2;161
3223;506;1696;549;345;187;75;759;657;254;94;2;161
3224;384;1354;508;369;165;72;767;719;213;78;2;162
3225;461;1466;542;357;172;77;728;622;241;96;2;162
3226;351;1493;538;389;159;77;728;641;235;89;2;162
3227;440;1502;550;360;159;74;782;644;234;89;2;162
3228;350;1509;502;334;169;76;747;617;225;80;2;162
3229;391;1512;504;338;172;76;701;639;219;96;2;162
3230;397;1552;529;346;160;73;699;606;219;85;2;162
3231;420;1567;542;357;176;75;788;635;232;90;2;162
3232;439;1577;545;383;168;74;742;678;232;87;2;162
3233;519;1611;567;353;180;81;760;753;240;97;2;162
3234;544;1628;541;383;169;74;804;740;226;94;2;162
3235;530;1639;560;398;175;76;778;674;256;101;2;162
3236;556;1647;532;393;178;77;825;694;243;97;2;162
3237;452;1690;520;373;183;81;736;686;253;79;2;162
3238;463;1522;559;368;168;75;767;634;232;98;2;163
3239;349;1550;536;355;166;69;682;577;235;86;2;163
3240;490;1554;550;362;159;72;790;690;241;97;2;163
3241;415;1573;530;359;166;75;709;640;238;91;2;163
3242;430;1573;532;371;167;72;709;629;224;80;2;163
3243;489;1597;528;363;167;76;729;693;240;91;2;163
3244;565;1603;510;381;168;76;821;718;238;92;2;163
3245;447;1626;533;341;177;70;722;644;231;87;2;163
3246;575;1661;570;362;175;82;792;710;239;97;2;163
3247;414;1684;521;339;169;77;727;629;247;83;2;163
3248;398;1459;530;344;163;71;732;652;218;86;2;164
3249;429;1471;540;363;162;73;765;685;209;84;2;164
3250;365;1514;530;373;163;72;733;621;230;87;2;164
3251;424;1518;531;346;153;67;717;665;216;80;2;164
3252;446;1572;521;347;176;75;735;673;230;84;2;164
3253;499;1578;532;396;173;78;775;664;250;102;2;164
3254;507;1580;551;392;175;75;805;738;235;88;2;164
3255;457;1581;535;359;167;71;749;611;236;92;2;164
3256;423;1585;536;343;168;71;705;645;237;86;2;164
3257;529;1587;549;388;170;78;839;704;236;86;2;164
3258;508;1615;539;373;169;76;781;729;236;93;2;164
3259;600;1671;557;403;182;79;829;807;246;94;2;164
3260;628;1681;544;405;175;77;822;780;246;95;2;164
3261;659;1685;573;424;188;82;870;784;244;98;2;164
3262;526;1697;531;397;190;82;799;753;269;103;2;164
3263;442;1475;542;379;157;71;845;666;214;83;2;165
3264;539;1500;559;396;168;74;841;803;229;92;2;165
3265;392;1510;532;346;167;70;704;618;242;91;2;165
3266;487;1554;522;375;161;71;811;689;224;95;2;165
3267;504;1555;537;378;178;81;789;662;232;93;2;165
3268;423;1577;551;351;167;80;713;630;246;91;2;165
3269;408;1589;546;364;167;71;734;627;233;85;2;165
3270;575;1593;521;424;168;72;880;728;234;94;2;165
3271;622;1675;540;427;168;77;866;717;244;96;2;165
3272;378;1485;540;361;164;75;692;626;227;89;2;166
3273;427;1536;533;356;165;66;727;623;237;83;2;166
3274;420;1552;532;368;155;70;753;665;228;84;2;166
3275;519;1586;516;387;169;74;786;681;238;96;2;166
3276;450;1610;533;365;173;69;755;623;231;79;2;166
3277;378;1438;542;337;159;70;728;615;219;79;2;167
3278;498;1544;520;403;172;72;800;732;233;94;2;167
3279;710;1598;574;421;174;78;882;937;261;98;2;167
3280;438;1613;530;363;194;82;744;635;259;100;2;167
3281;558;1618;549;402;182;80;859;723;243;98;2;167
3282;493;1644;544;379;172;71;804;726;231;93;2;167
3283;581;1688;544;381;184;69;790;717;253;96;2;167
3284;460;1490;543;362;166;74;780;641;239;95;2;168
3285;507;1497;520;366;154;70;793;798;235;93;2;168
3286;490;1515;553;409;167;77;868;675;222;90;2;168
3287;369;1536;556;354;181;79;680;579;243;91;2;168
3288;568;1568;562;396;172;77;830;724;232;94;2;168
3289;509;1580;527;387;172;76;855;701;232;88;2;168
3290;387;1580;546;333;156;68;711;574;234;89;2;168
3291;456;1596;549;357;165;73;758;633;231;93;2;168
3292;448;1607;538;372;174;78;732;615;242;87;2;168
3293;542;1607;551;424;182;79;873;722;266;72;2;168
3294;511;1611;539;378;172;76;787;748;237;89;2;168
3295;551;1595;535;376;173;77;756;722;250;99;2;169
3296;430;1601;547;379;170;71;763;648;221;84;2;169
3297;527;1652;538;371;184;79;803;675;247;89;2;169
3298;596;1655;531;406;178;79;878;716;241;99;2;169
3299;492;1669;537;392;184;80;810;659;244;94;2;169
3300;676;1743;559;464;184;80;915;931;260;99;2;169
3301;453;1519;541;357;159;73;730;672;222;89;2;170
3302;585;1579;558;416;171;76;840;747;232;97;2;170
3303;564;1581;546;410;170;74;804;746;239;89;2;170
3304;631;1593;527;420;163;75;833;816;227;95;2;170
3305;420;1596;534;374;163;74;726;636;230;90;2;170
3306;600;1625;545;395;162;72;821;712;234;92;2;170
3307;492;1631;556;364;169;71;769;621;245;91;2;170
