INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182028639,724,Auto Theft,AUTO THEFT,C11,366,,2018-04-17 11:30:00,2018,4,Tuesday,11,Part One,DORCHESTER AVE,42.28862665,-71.06350471,"(42.28862665, -71.06350471)"
I182028635,613,Larceny,LARCENY SHOPLIFTING,A1,102,,2018-04-17 12:05:00,2018,4,Tuesday,12,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182028632,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,143,,2018-04-17 12:39:00,2018,4,Tuesday,12,Part One,BOYLSTON ST,42.34932471,-71.08014801,"(42.34932471, -71.08014801)"
I182028629,613,Larceny,LARCENY SHOPLIFTING,E18,520,,2018-04-17 12:16:00,2018,4,Tuesday,12,Part One,HYDE PARK AVE,42.26701085,-71.12096171,"(42.26701085, -71.12096171)"
I182028629,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,520,,2018-04-17 12:16:00,2018,4,Tuesday,12,Part Two,HYDE PARK AVE,42.26701085,-71.12096171,"(42.26701085, -71.12096171)"
I182028624,619,Larceny,LARCENY ALL OTHERS,D4,618,,2018-04-16 00:00:00,2018,4,Monday,0,Part One,BOYLSTON ST,42.34601613,-71.0938121,"(42.34601613, -71.09381210)"
I182028623,311,Robbery,ROBBERY - COMMERCIAL,C11,337,,2018-04-17 11:59:00,2018,4,Tuesday,11,Part One,BOWDOIN ST,42.3036967,-71.07104897,"(42.30369670, -71.07104897)"
I182028623,619,Larceny,LARCENY ALL OTHERS,C11,337,,2018-04-17 11:59:00,2018,4,Tuesday,11,Part One,BOWDOIN ST,42.3036967,-71.07104897,"(42.30369670, -71.07104897)"
I182028621,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,268,,2018-04-17 11:30:00,2018,4,Tuesday,11,Part Two,EUSTIS ST,42.3290038,-71.07838214,"(42.32900380, -71.07838214)"
I182028620,613,Larceny,LARCENY SHOPLIFTING,A1,102,,2018-04-17 11:22:00,2018,4,Tuesday,11,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182028618,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,429,,2018-04-17 10:40:00,2018,4,Tuesday,10,Part One,WILDWOOD ST,42.28329468,-71.08824065,"(42.28329468, -71.08824065)"
I182028614,617,Larceny,LARCENY THEFT FROM BUILDING,D4,162,,2018-04-14 19:00:00,2018,4,Saturday,19,Part One,HARRISON AVE,42.34493428,-71.06366374,"(42.34493428, -71.06366374)"
I182028611,613,Larceny,LARCENY SHOPLIFTING,D4,143,,2018-04-17 10:39:00,2018,4,Tuesday,10,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182028609,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,359,,2018-04-17 10:54:00,2018,4,Tuesday,10,Part Two,WASHINGTON ST,42.29360585,-71.0718865,"(42.29360585, -71.07188650)"
I182028606,619,Larceny,LARCENY ALL OTHERS,B2,611,,2018-04-12 19:30:00,2018,4,Thursday,19,Part One,RIVERWAY,42.33359101,-71.11175636,"(42.33359101, -71.11175636)"
I182028604,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,582,,2018-04-17 10:45:00,2018,4,Tuesday,10,Part One,WESTERLY ST,42.32311753,-71.1066622,"(42.32311753, -71.10666220)"
I182028598,617,Larceny,LARCENY THEFT FROM BUILDING,B2,327,,2018-04-15 17:20:00,2018,4,Sunday,17,Part One,CHAMBLET ST,42.31578488,-71.07210679,"(42.31578488, -71.07210679)"
I182028596,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,516,,2018-04-17 00:30:00,2018,4,Tuesday,0,Part One,ALDO TER,42.25031424,-71.11885871,"(42.25031424, -71.11885871)"
I182028588,619,Larceny,LARCENY ALL OTHERS,D4,165,,2018-04-12 13:00:00,2018,4,Thursday,13,Part One,UNION PARK ST,42.33997789,-71.06614372,"(42.33997789, -71.06614372)"
I182028582,613,Larceny,LARCENY SHOPLIFTING,C11,356,,2018-04-17 09:57:00,2018,4,Tuesday,9,Part One,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)"
I182028572,2629,Harassment,HARASSMENT,E13,570,,2018-03-31 19:00:00,2018,3,Saturday,19,Part Two,FOREST HILLS ST,42.30806355,-71.10254489,"(42.30806355, -71.10254489)"
I182028563,617,Larceny,LARCENY THEFT FROM BUILDING,A1,63,,2018-04-13 17:00:00,2018,4,Friday,17,Part One,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182028554,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,369,,2018-04-14 16:00:00,2018,4,Saturday,16,Part One,VICTORY RD,42.29652112,-71.05229661,"(42.29652112, -71.05229661)"
I182028527,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,428,,2018-04-17 00:01:00,2018,4,Tuesday,0,Part Two,NORFOLK ST,42.28003764,-71.08853387,"(42.28003764, -71.08853387)"
I182028522,613,Larceny,LARCENY SHOPLIFTING,D14,793,,2018-04-16 22:31:00,2018,4,Monday,22,Part One,COMMONWEALTH AVE,42.34937839,-71.13249037,"(42.34937839, -71.13249037)"
I182028517,423,Aggravated Assault,ASSAULT - AGGRAVATED,A1,111,,2018-04-16 22:00:00,2018,4,Monday,22,Part One,TREMONT ST,42.35311007,-71.06432264,"(42.35311007, -71.06432264)"
I182028517,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,111,,2018-04-16 22:00:00,2018,4,Monday,22,Part Two,TREMONT ST,42.35311007,-71.06432264,"(42.35311007, -71.06432264)"
I182028513,2629,Harassment,HARASSMENT,E5,685,,2018-04-16 21:58:00,2018,4,Monday,21,Part Two,WASHINGTON ST,42.277462,-71.13797646,"(42.27746200, -71.13797646)"
I182028512,617,Larceny,LARCENY THEFT FROM BUILDING,D4,631,,2018-04-16 22:39:00,2018,4,Monday,22,Part One,CUMMINGTON MALL,42.34892548,-71.10423081,"(42.34892548, -71.10423081)"
I182028507,619,Larceny,LARCENY ALL OTHERS,E13,638,,2018-04-16 21:40:00,2018,4,Monday,21,Part One,BEECHER ST,42.31828168,-71.10715062,"(42.31828168, -71.10715062)"
I182028496,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,811,,2018-04-16 20:00:00,2018,4,Monday,20,Part Two,WESTFORD PL,42.36225823,-71.13438762,"(42.36225823, -71.13438762)"
I182028490,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,213,,2018-04-16 19:48:00,2018,4,Monday,19,Part Two,W BROADWAY,42.33731438,-71.04852327,"(42.33731438, -71.04852327)"
I182028481,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,175,,2018-04-16 18:54:00,2018,4,Monday,18,Part Two,ATKINSON ST,42.33189752,-71.06908191,"(42.33189752, -71.06908191)"
I182028472,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,448,,2018-04-16 18:55:00,2018,4,Monday,18,Part Two,SPENCER ST,42.29384269,-71.07609427,"(42.29384269, -71.07609427)"
I182028469,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,192,,2018-04-16 16:30:00,2018,4,Monday,16,Part One,MOHAWK ST,42.3289371,-71.05571742,"(42.32893710, -71.05571742)"
I182028465,617,Larceny,LARCENY THEFT FROM BUILDING,C11,396,,2018-04-16 18:20:00,2018,4,Monday,18,Part One,SAMOSET ST,42.29147791,-71.06486888,"(42.29147791, -71.06486888)"
I182028462,617,Larceny,LARCENY THEFT FROM BUILDING,D4,624,,2018-04-14 13:00:00,2018,4,Saturday,13,Part One,BOYLSTON ST,42.34601613,-71.0938121,"(42.34601613, -71.09381210)"
I182028460,613,Larceny,LARCENY SHOPLIFTING,A1,94,,2018-04-16 17:30:00,2018,4,Monday,17,Part One,FANEUIL HALL MARKETPLACE,42.35997967,-71.05474135,"(42.35997967, -71.05474135)"
I182028443,423,Aggravated Assault,ASSAULT - AGGRAVATED,C11,817,,2018-04-16 16:01:00,2018,4,Monday,16,Part One,TALBOT AVE,42.2871482,-71.06493039,"(42.28714820, -71.06493039)"
